ID;LATITUDE;LONGITUDE;STRATEGY;SECTOR;NOTE
158;43.772274;-0.043092;-1;-1;
159;43.77227;-0.043116;-1;-1;
160;43.772266;-0.04314;-1;-1;
161;43.772263;-0.043157;-1;-1;
162;43.772259;-0.04318;-1;-1;
163;43.772251;-0.043207;-1;-1;
164;43.772247;-0.043229;-1;-1;
165;43.772243;-0.04325;-1;-1;
166;43.77224;-0.043265;-1;-1;
167;43.772232;-0.043286;-1;-1;
168;43.772224;-0.043313;-1;-1;
169;43.772221;-0.043334;-1;-1;
170;43.772213;-0.043356;-1;-1;
171;43.772209;-0.043368;-1;-1;
172;43.772202;-0.04339;-1;-1;
173;43.772198;-0.043402;-1;-1;
174;43.77219;-0.043431;-1;-1;
175;43.772186;-0.043443;-1;-1;
176;43.772182;-0.043455;-1;-1;
177;43.772179;-0.043468;-1;-1;
178;43.772175;-0.043486;-1;-1;
179;43.772171;-0.043499;-1;-1;
180;43.772167;-0.043512;-1;-1;
181;43.77216;-0.043525;-1;-1;
182;43.772156;-0.043538;-1;-1;
183;43.772152;-0.043558;-1;-1;
184;43.772148;-0.043571;-1;-1;
185;43.772144;-0.043585;-1;-1;
186;43.772137;-0.043599;-1;-1;
187;43.772133;-0.043613;-1;-1;
188;43.772129;-0.043627;-1;-1;
189;43.772125;-0.043642;-1;-1;
190;43.772121;-0.043656;-1;-1;
191;43.772118;-0.043671;-1;-1;
192;43.77211;-0.043693;-1;-1;
193;43.772106;-0.043708;-1;-1;
194;43.772102;-0.043724;-1;-1;
195;43.772095;-0.043739;-1;-1;
196;43.772091;-0.043755;-1;-1;
197;43.772083;-0.043778;-1;-1;
198;43.772079;-0.043795;-1;-1;
199;43.772076;-0.043811;-1;-1;
200;43.772068;-0.043827;-1;-1;
201;43.772064;-0.043844;-1;-1;
202;43.77206;-0.043861;-1;-1;
203;43.772057;-0.043878;-1;-1;
204;43.772049;-0.043895;-1;-1;
205;43.772045;-0.043913;-1;-1;
206;43.772038;-0.043939;-1;-1;
207;43.772034;-0.043957;-1;-1;
208;43.772026;-0.043976;-1;-1;
209;43.772022;-0.043994;-1;-1;
210;43.772018;-0.044013;-1;-1;
211;43.772015;-0.044032;-1;-1;
212;43.772011;-0.044052;-1;-1;
213;43.772007;-0.044072;-1;-1;
214;43.771999;-0.044092;-1;-1;
215;43.771996;-0.044112;-1;-1;
216;43.771992;-0.044133;-1;-1;
217;43.771988;-0.044154;-1;-1;
218;43.771984;-0.044176;-1;-1;
219;43.771984;-0.044197;-1;-1;
220;43.77198;-0.044219;-1;-1;
221;43.771976;-0.04424;-1;-1;
222;43.771976;-0.044262;-1;-1;
223;43.771973;-0.044283;-1;-1;
224;43.771973;-0.044305;-1;-1;
225;43.771969;-0.044326;-1;-1;
226;43.771969;-0.044348;-1;-1;
227;43.771969;-0.04437;-1;-1;
228;43.771969;-0.044391;-1;-1;
229;43.771969;-0.044413;-1;-1;
230;43.771969;-0.044434;-1;-1;
231;43.771969;-0.044455;-1;-1;
232;43.771973;-0.044477;-1;-1;
233;43.771973;-0.044498;-1;-1;
234;43.771976;-0.044519;-1;-1;
235;43.77198;-0.044539;-1;-1;
236;43.771984;-0.04457;-1;-1;
237;43.771988;-0.04459;-1;-1;
238;43.771996;-0.04461;-1;-1;
239;43.771999;-0.044629;-1;-1;
240;43.772007;-0.044648;-1;-1;
241;43.772011;-0.044667;-1;-1;
242;43.772018;-0.044685;-1;-1;
243;43.772026;-0.044702;-1;-1;
244;43.772034;-0.04472;-1;-1;
245;43.772041;-0.044736;-1;-1;
246;43.772049;-0.044752;-1;-1;
247;43.77206;-0.044768;-1;-1;
248;43.772068;-0.044783;-1;-1;
249;43.772079;-0.044797;-1;-1;
250;43.772087;-0.044811;-1;-1;
251;43.772099;-0.044824;-1;-1;
252;43.77211;-0.044837;-1;-1;
253;43.772118;-0.04485;-1;-1;
254;43.772129;-0.044863;-1;-1;
255;43.772144;-0.044881;-1;-1;
256;43.772156;-0.044892;-1;-1;
257;43.772167;-0.044904;-1;-1;
258;43.772175;-0.044915;-1;-1;
259;43.772186;-0.044926;-1;-1;
260;43.772198;-0.044937;-1;-1;
261;43.772209;-0.044948;-1;-1;
262;43.772217;-0.044958;-1;-1;
263;43.772228;-0.044968;-1;-1;
264;43.77224;-0.044978;-1;-1;
265;43.772255;-0.044993;-1;-1;
266;43.772266;-0.045003;-1;-1;
267;43.772278;-0.045013;-1;-1;
268;43.772289;-0.045022;-1;-1;
269;43.772301;-0.045032;-1;-1;
270;43.772308;-0.045041;-1;-1;
271;43.77232;-0.04505;-1;-1;
272;43.772331;-0.045059;-1;-1;
273;43.772343;-0.045068;-1;-1;
274;43.772358;-0.045082;-1;-1;
275;43.772369;-0.045091;-1;-1;
276;43.772377;-0.045099;-1;-1;
277;43.772388;-0.045108;-1;-1;
278;43.7724;-0.045116;-1;-1;
279;43.772415;-0.045129;-1;-1;
280;43.772427;-0.045137;-1;-1;
281;43.772438;-0.045146;-1;-1;
282;43.772446;-0.045153;-1;-1;
283;43.772457;-0.045162;-1;-1;
284;43.772469;-0.04517;-1;-1;
285;43.772476;-0.045178;-1;-1;
286;43.772488;-0.045187;-1;-1;
287;43.772499;-0.045195;-1;-1;
288;43.772514;-0.045208;-1;-1;
289;43.772522;-0.045216;-1;-1;
290;43.772533;-0.045224;-1;-1;
291;43.772545;-0.045233;-1;-1;
292;43.772552;-0.045242;-1;-1;
293;43.772568;-0.045255;-1;-1;
294;43.772579;-0.045263;-1;-1;
295;43.772587;-0.045271;-1;-1;
296;43.772598;-0.045279;-1;-1;
297;43.772614;-0.045292;-1;-1;
298;43.772621;-0.0453;-1;-1;
299;43.772633;-0.045308;-1;-1;
300;43.77264;-0.045316;-1;-1;
301;43.772652;-0.045324;-1;-1;
302;43.772667;-0.045336;-1;-1;
303;43.772675;-0.045344;-1;-1;
304;43.772686;-0.045352;-1;-1;
305;43.772697;-0.045359;-1;-1;
306;43.772705;-0.045367;-1;-1;
307;43.772717;-0.045375;-1;-1;
308;43.772724;-0.045383;-1;-1;
309;43.772736;-0.045391;-1;-1;
310;43.772747;-0.045398;-1;-1;
311;43.772762;-0.045409;-1;-1;
312;43.77277;-0.045417;-1;-1;
313;43.772781;-0.045424;-1;-1;
314;43.772793;-0.045431;-1;-1;
315;43.772816;-0.045448;-1;-1;
316;43.772827;-0.045454;-1;-1;
317;43.772839;-0.045461;-1;-1;
318;43.77285;-0.045467;-1;-1;
319;43.772865;-0.045476;-1;-1;
320;43.772877;-0.045482;-1;-1;
321;43.772888;-0.045487;-1;-1;
322;43.7729;-0.045492;-1;-1;
323;43.772911;-0.045497;-1;-1;
324;43.772926;-0.045504;-1;-1;
325;43.772938;-0.045507;-1;-1;
326;43.772949;-0.045511;-1;-1;
327;43.772961;-0.045514;-1;-1;
328;43.77298;-0.045517;-1;-1;
329;43.772991;-0.045519;-1;-1;
330;43.773003;-0.04552;-1;-1;
331;43.773014;-0.045521;-1;-1;
332;43.773026;-0.045521;-1;-1;
333;43.773037;-0.045521;-1;-1;
334;43.773048;-0.045521;-1;-1;
335;43.773064;-0.045519;-1;-1;
336;43.773075;-0.045518;-1;-1;
337;43.773087;-0.045516;-1;-1;
338;43.773098;-0.045513;-1;-1;
339;43.773109;-0.04551;-1;-1;
340;43.773121;-0.045506;-1;-1;
341;43.773132;-0.045502;-1;-1;
342;43.773148;-0.045497;-1;-1;
343;43.773159;-0.045492;-1;-1;
344;43.77317;-0.045487;-1;-1;
345;43.773182;-0.045481;-1;-1;
346;43.773193;-0.045475;-1;-1;
347;43.773205;-0.045468;-1;-1;
348;43.773216;-0.045461;-1;-1;
349;43.773228;-0.045454;-1;-1;
350;43.773239;-0.045447;-1;-1;
351;43.773251;-0.045439;-1;-1;
352;43.773262;-0.04543;-1;-1;
353;43.773273;-0.045421;-1;-1;
354;43.773285;-0.045412;-1;-1;
355;43.773296;-0.045403;-1;-1;
356;43.773308;-0.045393;-1;-1;
357;43.773319;-0.045383;-1;-1;
358;43.773331;-0.045373;-1;-1;
359;43.773342;-0.045362;-1;-1;
360;43.773354;-0.045352;-1;-1;
361;43.773365;-0.045341;-1;-1;
362;43.773373;-0.045329;-1;-1;
363;43.773392;-0.045312;-1;-1;
364;43.773399;-0.0453;-1;-1;
365;43.773411;-0.045288;-1;-1;
366;43.773422;-0.045276;-1;-1;
367;43.773438;-0.045256;-1;-1;
